share_price,user_id,share_bought,transaction_id,stock_symbol
16.9,USR0017,362,2022051316524328900002,KLSE:O
27.51,USR0014,275,2022051316524328900003,KLSE:S
41.19,USR0017,317,2022051316524328900004,KLSE:N
17.48,USR0015,57,2022051316524328900005,KLSE:Q
30.71,USR0008,450,2022051316524328900006,KLSE:B
33.91,USR0012,197,2022051316524328900007,KLSE:H
15.47,USR0016,101,2022051316524328900008,KLSE:T
30.12,USR0020,351,2022051316524328900009,KLSE:J
14.72,USR0015,409,2022051316524328900010,KLSE:O
40.61,USR0001,419,2022051316524328900011,KLSE:L
46.37,USR0018,330,2022051316524328900012,KLSE:I
45.89,USR0006,280,2022051316524328900013,KLSE:L
22.82,USR0012,127,2022051316524328900014,KLSE:G
23.12,USR0007,187,2022051316524328900015,KLSE:P
34.69,USR0006,272,2022051316524328900016,KLSE:C
29.99,USR0004,106,2022051316524328900017,KLSE:B
11.74,USR0012,94,2022051316524328900018,KLSE:A
32.77,USR0016,54,2022051316524328900019,KLSE:R
36.98,USR0011,437,2022051316524328900020,KLSE:N
28.55,USR0007,272,2022051316524328900021,KLSE:T
11.94,USR0019,208,2022051316524328900022,KLSE:C
18.03,USR0018,492,2022051316524328900023,KLSE:A
43.36,USR0014,454,2022051316524328900024,KLSE:A
16.84,USR0014,174,2022051316524328900025,KLSE:F
41.45,USR0006,430,2022051316524328900026,KLSE:T
41.22,USR0008,238,2022051316524328900027,KLSE:C
39.4,USR0005,431,2022051316524328900028,KLSE:N
15.54,USR0006,76,2022051316524328900029,KLSE:Q
17.53,USR0007,424,2022051316524328900030,KLSE:T
36.26,USR0012,419,2022051316524328900031,KLSE:J
44.66,USR0012,496,2022051316524328900032,KLSE:P
28.11,USR0018,70,2022051316524328900033,KLSE:A
28.58,USR0017,191,2022051316524328900034,KLSE:T
46.98,USR0011,270,2022051316524328900035,KLSE:Q
11.45,USR0014,150,2022051316524328900036,KLSE:P
49.18,USR0018,210,2022051316524328900037,KLSE:T
21.65,USR0004,303,2022051316524328900038,KLSE:M
15.41,USR0004,291,2022051316524328900039,KLSE:E
38.13,USR0010,476,2022051316524328900040,KLSE:I
30.87,USR0014,255,2022051316524328900041,KLSE:J
13.77,USR0001,185,2022051316524328900042,KLSE:N
10.12,USR0004,163,2022051316524328900043,KLSE:F
48.69,USR0007,248,2022051316524328900044,KLSE:D
23.5,USR0002,350,2022051316524328900045,KLSE:H
25.77,USR0020,307,2022051316524328900046,KLSE:C
35.4,USR0007,442,2022051316524328900047,KLSE:B
34.63,USR0001,351,2022051316524328900048,KLSE:A
25.29,USR0008,500,2022051316524328900049,KLSE:A
18.72,USR0018,354,2022051316524328900050,KLSE:T
19.36,USR0012,234,2022051316524328900051,KLSE:Q
36.84,USR0017,400,2022051316524328900052,KLSE:P
22.7,USR0010,168,2022051316524328900053,KLSE:C
49.26,USR0019,217,2022051316524328900054,KLSE:J
29.13,USR0018,191,2022051316524328900055,KLSE:C
16.04,USR0005,163,2022051316524328900056,KLSE:K
34.67,USR0007,162,2022051316524328900057,KLSE:H
17.23,USR0009,469,2022051316524328900058,KLSE:P
33.28,USR0004,243,2022051316524328900059,KLSE:E
24.35,USR0010,262,2022051316524328900060,KLSE:N
42.3,USR0013,429,2022051316524328900061,KLSE:R
27.72,USR0020,309,2022051316524328900062,KLSE:P
48.59,USR0019,266,2022051316524328900063,KLSE:M
25.52,USR0019,404,2022051316524328900064,KLSE:J
43.21,USR0008,380,2022051316524328900065,KLSE:K
17.42,USR0003,213,2022051316524328900066,KLSE:P
18.85,USR0001,57,2022051316524328900067,KLSE:D
47.5,USR0019,456,2022051316524328900068,KLSE:T
28.27,USR0007,489,2022051316524328900069,KLSE:O
34.85,USR0007,180,2022051316524328900070,KLSE:N
22.12,USR0011,171,2022051316524328900071,KLSE:B
37.83,USR0014,148,2022051316524328900072,KLSE:I
48.63,USR0017,274,2022051316524328900073,KLSE:C
11.4,USR0020,69,2022051316524328900074,KLSE:F
43.07,USR0007,435,2022051316524328900075,KLSE:K
46.43,USR0010,77,2022051316524328900076,KLSE:R
21.12,USR0020,121,2022051316524328900077,KLSE:Q
12.57,USR0010,143,2022051316524328900078,KLSE:N
49.32,USR0006,302,2022051316524328900079,KLSE:E
42.7,USR0006,135,2022051316524328900080,KLSE:G
20.62,USR0006,327,2022051316524328900081,KLSE:Q
10.82,USR0014,172,2022051316524328900082,KLSE:O
26.25,USR0003,207,2022051316524328900083,KLSE:C
28.98,USR0003,177,2022051316524328900084,KLSE:Q
25.23,USR0012,182,2022051316524328900085,KLSE:R
48.15,USR0019,439,2022051316524328900086,KLSE:B
33.63,USR0010,322,2022051316524328900087,KLSE:A
23.45,USR0003,122,2022051316524328900088,KLSE:Q
33.81,USR0002,81,2022051316524328900089,KLSE:B
46.81,USR0014,303,2022051316524328900090,KLSE:G
29.69,USR0017,285,2022051316524328900091,KLSE:F
39.06,USR0003,206,2022051316524328900092,KLSE:O
15.95,USR0019,449,2022051316524328900093,KLSE:Q
35.18,USR0011,113,2022051316524328900094,KLSE:N
48.84,USR0010,123,2022051316524328900095,KLSE:P
13.85,USR0010,283,2022051316524328900096,KLSE:M
17.21,USR0019,459,2022051316524328900097,KLSE:D
33.69,USR0004,261,2022051316524328900098,KLSE:G
41.8,USR0016,397,2022051316524328900099,KLSE:R
22.97,USR0016,56,2022051316524328900100,KLSE:B
14.7,USR0018,235,2022051316524328900101,KLSE:C
18.85,USR0019,419,2022051316524328900102,KLSE:P
13.05,USR0019,421,2022051316524328900103,KLSE:C
13.3,USR0019,360,2022051316524328900104,KLSE:T
22.78,USR0005,411,2022051316524328900105,KLSE:I
32.33,USR0015,202,2022051316524328900106,KLSE:C
43.89,USR0008,285,2022051316524328900107,KLSE:L
26.55,USR0002,387,2022051316524328900108,KLSE:J
16.21,USR0013,284,2022051316524328900109,KLSE:S
36.09,USR0016,206,2022051316524328900110,KLSE:P
10.42,USR0019,60,2022051316524328900111,KLSE:F
46.25,USR0015,90,2022051316524328900112,KLSE:F
45.12,USR0019,88,2022051316524328900113,KLSE:C
32.14,USR0008,267,2022051316524328900114,KLSE:H
11.95,USR0003,276,2022051316524328900115,KLSE:P
38.67,USR0012,398,2022051316524328900116,KLSE:P
24.18,USR0018,411,2022051316524328900117,KLSE:A
17.43,USR0012,369,2022051316524328900118,KLSE:D
18.79,USR0009,136,2022051316524328900119,KLSE:B
41.28,USR0018,224,2022051316524328900120,KLSE:F
10.25,USR0015,247,2022051316524328900121,KLSE:R
23.14,USR0016,360,2022051316524328900122,KLSE:L
18.33,USR0006,363,2022051316524328900123,KLSE:L
29.81,USR0004,354,2022051316524328900124,KLSE:B
47.68,USR0005,429,2022051316524328900125,KLSE:J
47.75,USR0008,447,2022051316524328900126,KLSE:O
37.71,USR0004,221,2022051316524328900127,KLSE:R
44.52,USR0012,131,2022051316524328900128,KLSE:H
42.44,USR0015,144,2022051316524328900129,KLSE:H
25.21,USR0006,79,2022051316524328900130,KLSE:H
29.63,USR0015,179,2022051316524328900131,KLSE:B
16.19,USR0008,186,2022051316524328900132,KLSE:A
16.32,USR0004,282,2022051316524328900133,KLSE:T
41.6,USR0020,454,2022051316524328900134,KLSE:D
49.81,USR0020,316,2022051316524328900135,KLSE:M
32.86,USR0004,143,2022051316524328900136,KLSE:N
26.1,USR0016,487,2022051316524328900137,KLSE:A
27.53,USR0018,94,2022051316524328900138,KLSE:F
27.32,USR0007,267,2022051316524328900139,KLSE:M
18.34,USR0004,490,2022051316524328900140,KLSE:E
35.36,USR0008,477,2022051316524328900141,KLSE:E
11.98,USR0011,141,2022051316524328900142,KLSE:T
48.57,USR0015,178,2022051316524328900143,KLSE:C
27.96,USR0019,494,2022051316524328900144,KLSE:N
24.2,USR0016,217,2022051316524328900145,KLSE:B
36.43,USR0001,59,2022051316524328900146,KLSE:S
36.83,USR0006,433,2022051316524328900147,KLSE:O
24.29,USR0010,113,2022051316524328900148,KLSE:M
22.24,USR0008,214,2022051316524328900149,KLSE:P
49.64,USR0010,229,2022051316524328900150,KLSE:S
17.57,USR0016,295,2022051316524328900151,KLSE:T
14.96,USR0003,408,2022051316524328900152,KLSE:S
47.31,USR0020,419,2022051316524328900153,KLSE:S
29.18,USR0001,190,2022051316524328900154,KLSE:D
21.44,USR0019,447,2022051316524328900155,KLSE:B
34.28,USR0019,410,2022051316524328900156,KLSE:B
14.08,USR0004,467,2022051316524328900157,KLSE:M
17.68,USR0003,72,2022051316524328900158,KLSE:K
14.61,USR0014,366,2022051316524328900159,KLSE:T
38.98,USR0018,283,2022051316524328900160,KLSE:A
35.45,USR0002,318,2022051316524328900161,KLSE:E
17.74,USR0014,379,2022051316524328900162,KLSE:P
37.96,USR0010,403,2022051316524328900163,KLSE:K
25.61,USR0011,353,2022051316524328900164,KLSE:F
28.29,USR0018,242,2022051316524328900165,KLSE:G
16.29,USR0014,380,2022051316524328900166,KLSE:F
44.49,USR0004,51,2022051316524328900167,KLSE:H
20.82,USR0012,225,2022051316524328900168,KLSE:R
22.03,USR0013,454,2022051316524328900169,KLSE:D
33.82,USR0013,443,2022051316524328900170,KLSE:N
45.19,USR0003,141,2022051316524328900171,KLSE:B
30.95,USR0017,321,2022051316524328900172,KLSE:J
32.82,USR0017,407,2022051316524328900173,KLSE:O
24.68,USR0003,192,2022051316524328900174,KLSE:O
40.2,USR0013,271,2022051316524328900175,KLSE:M
21.3,USR0018,445,2022051316524328900176,KLSE:A
32.8,USR0020,101,2022051316524328900177,KLSE:F
41.41,USR0019,264,2022051316524328900178,KLSE:R
46.56,USR0013,500,2022051316524328900179,KLSE:N
40.67,USR0011,76,2022051316524328900180,KLSE:H
38.45,USR0008,220,2022051316524328900181,KLSE:M
14.11,USR0005,499,2022051316524328900182,KLSE:F
49.22,USR0007,90,2022051316524328900183,KLSE:B
36.3,USR0020,157,2022051316524328900184,KLSE:J
36.72,USR0003,376,2022051316524328900185,KLSE:L
34.59,USR0017,281,2022051316524328900186,KLSE:J
37.71,USR0014,89,2022051316524328900187,KLSE:M
21.15,USR0008,338,2022051316524328900188,KLSE:O
35.69,USR0005,251,2022051316524328900189,KLSE:F
13.8,USR0007,400,2022051316524328900190,KLSE:T
35.67,USR0011,437,2022051316524328900191,KLSE:A
29.73,USR0010,467,2022051316524328900192,KLSE:O
31.27,USR0015,405,2022051316524328900193,KLSE:L
12.96,USR0014,315,2022051316524328900194,KLSE:N
19.89,USR0004,474,2022051316524328900195,KLSE:Q
36.97,USR0010,102,2022051316524328900196,KLSE:Q
27.99,USR0017,287,2022051316524328900197,KLSE:Q
28.82,USR0007,298,2022051316524328900198,KLSE:K
38.26,USR0006,421,2022051316524328900199,KLSE:B
11.17,USR0009,178,2022051316524328900200,KLSE:Q
25.51,USR0003,466,2022051316524328900201,KLSE:N
29.48,USR0003,366,2022051316524328900202,KLSE:A
29.24,USR0001,173,2022051316524328900203,KLSE:A
46.96,USR0001,437,2022051316524328900204,KLSE:M
35.5,USR0004,214,2022051316524328900205,KLSE:C
38.98,USR0013,102,2022051316524328900206,KLSE:A
34.59,USR0018,364,2022051316524328900207,KLSE:A
42.96,USR0003,377,2022051316524328900208,KLSE:S
46.27,USR0003,251,2022051316524328900209,KLSE:J
17.21,USR0009,141,2022051316524328900210,KLSE:R
33.2,USR0018,313,2022051316524328900211,KLSE:G
17.34,USR0003,469,2022051316524328900212,KLSE:P
23.47,USR0013,53,2022051316524328900213,KLSE:H
16.83,USR0002,131,2022051316524328900214,KLSE:E
34.2,USR0010,326,2022051316524328900215,KLSE:C
38.35,USR0017,133,2022051316524328900216,KLSE:Q
20.94,USR0018,279,2022051316524328900217,KLSE:K
19.87,USR0007,339,2022051316524328900218,KLSE:B
44.9,USR0001,409,2022051316524328900219,KLSE:P
41.43,USR0016,92,2022051316524328900220,KLSE:R
35.86,USR0002,73,2022051316524328900221,KLSE:M
12.61,USR0009,148,2022051316524328900222,KLSE:Q
43.51,USR0014,357,2022051316524328900223,KLSE:S
33.58,USR0012,320,2022051316524328900224,KLSE:F
21.59,USR0003,162,2022051316524328900225,KLSE:T
43.69,USR0002,342,2022051316524328900226,KLSE:B
14.12,USR0019,475,2022051316524328900227,KLSE:L
10.9,USR0007,107,2022051316524328900228,KLSE:H
14.75,USR0017,62,2022051316524328900229,KLSE:T
47.33,USR0020,495,2022051316524328900230,KLSE:D
36.86,USR0001,499,2022051316524328900231,KLSE:I
38.15,USR0006,117,2022051316524328900232,KLSE:R
20.69,USR0015,379,2022051316524328900233,KLSE:K
38.85,USR0016,210,2022051316524328900234,KLSE:H
31.58,USR0008,295,2022051316524328900235,KLSE:J
39.36,USR0016,420,2022051316524328900236,KLSE:Q
40.26,USR0013,148,2022051316524328900237,KLSE:G
49.7,USR0017,343,2022051316524328900238,KLSE:K
16.5,USR0019,361,2022051316524328900239,KLSE:A
18.7,USR0011,351,2022051316524328900240,KLSE:S
13.58,USR0008,445,2022051316524328900241,KLSE:M
22.36,USR0019,396,2022051316524328900242,KLSE:P
20.37,USR0016,405,2022051316524328900243,KLSE:L
32.68,USR0013,480,2022051316524328900244,KLSE:H
46.17,USR0020,299,2022051316524328900245,KLSE:I
22.47,USR0020,56,2022051316524328900246,KLSE:H
17.85,USR0009,206,2022051316524328900247,KLSE:T
22.51,USR0012,367,2022051316524328900248,KLSE:S
22.38,USR0019,440,2022051316524328900249,KLSE:G
23.99,USR0010,188,2022051316524328900250,KLSE:I
42.95,USR0011,278,2022051316524328900251,KLSE:G
34.22,USR0003,272,2022051316524328900252,KLSE:O
29.03,USR0014,352,2022051316524328900253,KLSE:O
44.26,USR0002,196,2022051316524328900254,KLSE:A
24.03,USR0013,90,2022051316524328900255,KLSE:K
29.91,USR0013,246,2022051316524328900256,KLSE:B
20.69,USR0014,152,2022051316524328900257,KLSE:R
45.78,USR0019,235,2022051316524328900258,KLSE:J
29.07,USR0007,67,2022051316524328900259,KLSE:A
49.8,USR0004,417,2022051316524328900260,KLSE:E
34.18,USR0019,123,2022051316524328900261,KLSE:S
40.24,USR0001,138,2022051316524328900262,KLSE:E
34.97,USR0010,227,2022051316524328900263,KLSE:S
16.72,USR0008,76,2022051316524328900264,KLSE:J
38.85,USR0010,263,2022051316524328900265,KLSE:A
26.62,USR0018,480,2022051316524328900266,KLSE:L
23.99,USR0018,285,2022051316524328900267,KLSE:D
14.17,USR0012,211,2022051316524328900268,KLSE:G
40.76,USR0014,392,2022051316524328900269,KLSE:D
29.66,USR0016,438,2022051316524328900270,KLSE:I
28.7,USR0018,209,2022051316524328900271,KLSE:N
30.65,USR0016,243,2022051316524328900272,KLSE:F
39.72,USR0010,300,2022051316524328900273,KLSE:S
49.69,USR0020,193,2022051316524328900274,KLSE:K
34.92,USR0017,432,2022051316524328900275,KLSE:C
40.54,USR0011,103,2022051316524328900276,KLSE:P
13.84,USR0015,487,2022051316524328900277,KLSE:L
26.76,USR0011,119,2022051316524328900278,KLSE:S
21.9,USR0003,407,2022051316524328900279,KLSE:P
33.98,USR0010,68,2022051316524328900280,KLSE:H
39.51,USR0006,437,2022051316524328900281,KLSE:J
48.75,USR0016,88,2022051316524328900282,KLSE:N
46.46,USR0005,407,2022051316524328900283,KLSE:S
11.84,USR0011,66,2022051316524328900284,KLSE:O
31.17,USR0016,55,2022051316524328900285,KLSE:M
19.46,USR0013,182,2022051316524328900286,KLSE:H
29.54,USR0015,346,2022051316524328900287,KLSE:P
25.11,USR0017,477,2022051316524328900288,KLSE:E
